timestamp,ttl,ip,hostname,asn
1701706828,1,131.159.223.253,???,209335,12.399911880493164
1701706828,2,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335,6.093025207519531
1701706828,3,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816,4.832029342651367
1701706828,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,6.8798065185546875
1701706828,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,15.80810546875
1701706828,6,104.44.45.49,ae61-0.ier01.fra32.ntwk.msn.net,8075,16.186237335205078
1701706828,7,*,*,*,*
1701706828,8,*,*,*,*
1701706828,9,104.44.28.178,be-13-0.ibr02.par21.ntwk.msn.net,8075,303.6530017852783
1701706828,10,104.44.29.133,be-31-0.ibr02.mrs20.ntwk.msn.net,8075,291.3539409637451
1701706828,11,104.44.17.64,be-14-0.ibr02.sg2.ntwk.msn.net,8075,600.7966995239258
1701706828,12,104.44.7.18,be-1-0.ibr02.sg3.ntwk.msn.net,8075,384.9940299987793
1701706828,13,104.44.18.237,be-10-0.ibr02.hkg20.ntwk.msn.net,8075,296.0219383239746
1701706828,14,104.44.7.3,be-1-0.ibr02.hkg31.ntwk.msn.net,8075,266.7500972747803
1701706828,15,*,*,*,*
1701706828,16,104.44.22.48,ae122-0.icr02.sel21.ntwk.msn.net,8075,322.7221965789795
1701706828,17,*,*,*,*
1701706828,18,*,*,*,*
1701706828,19,*,*,*,*
1701706828,20,*,*,*,*
1701706828,21,*,*,*,*
1701706828,22,*,*,*,*
1701706828,23,*,*,*,*
1701706828,24,*,*,*,*
1701706828,25,*,*,*,*
1701706828,26,*,*,*,*
1701706828,27,*,*,*,*
1701706828,28,*,*,*,*
1701706828,29,*,*,*,*
