timestamp,ttl,ip,hostname,asn
1701707286,1,131.159.223.252,???,209335,5.12385368347168
1701707286,2,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,7.1258544921875
1701707286,3,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,5.991220474243164
1701707286,4,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,25.76589584350586
1701707286,5,99.83.68.142,???,,28.784990310668945
1701707286,6,*,*,*,*
1701707286,7,*,*,*,*
1701707286,8,*,*,*,*
1701707286,9,*,*,*,*
1701707286,10,*,*,*,*
1701707286,11,*,*,*,*
1701707286,12,*,*,*,*
1701707286,13,*,*,*,*
1701707286,14,*,*,*,*
1701707286,15,*,*,*,*
1701707286,16,*,*,*,*
1701707286,17,*,*,*,*
1701707286,18,*,*,*,*
1701707286,19,*,*,*,*
1701707286,20,*,*,*,*
1701707286,21,*,*,*,*
1701707286,22,*,*,*,*
1701707286,23,*,*,*,*
1701707286,24,*,*,*,*
1701707286,25,*,*,*,*
1701707286,26,*,*,*,*
1701707286,27,*,*,*,*
1701707286,28,*,*,*,*
1701707286,29,*,*,*,*
