timestamp,satellite_norad,satellite,alt,az,pop_ping_latency_ms
2023-06-07 00:25:28.657889,45050,STARLINK-1140,"62deg 08' 02.8""","333deg 57' 31.7""",33.52381134033203
2023-06-07 00:25:28.693799,46334,STARLINK-1725,"42deg 43' 37.9""","101deg 59' 00.6""",32.761905670166016
2023-06-07 00:25:28.764220,46767,STARLINK-1917,"55deg 35' 44.0""","306deg 47' 32.8""",32.761905670166016
2023-06-07 00:25:28.814207,47880,STARLINK-2337,"41deg 59' 04.3""","111deg 22' 44.6""",32.95000076293945
2023-06-07 00:25:28.855349,48022,STARLINK-2298,"41deg 28' 54.9""","31deg 52' 41.6""",32.95000076293945
2023-06-07 00:25:28.894079,48403,STARLINK-2561,"44deg 22' 56.4""","265deg 43' 19.8""",32.849998474121094
2023-06-07 00:25:28.974616,51150,STARLINK-3357,"46deg 03' 03.2""","01deg 26' 41.5""",32.849998474121094
2023-06-07 00:25:29.014274,51469,STARLINK-3182,"64deg 01' 47.3""","124deg 06' 17.2""",32.75
2023-06-07 00:25:29.055781,51802,STARLINK-3557,"67deg 57' 57.9""","80deg 57' 31.2""",32.75
2023-06-07 00:25:29.094666,51812,STARLINK-3610,"47deg 26' 01.0""","341deg 27' 34.0""",32.66666793823242
2023-06-07 00:25:29.140623,52628,STARLINK-4001,"56deg 06' 07.8""","315deg 46' 21.1""",32.66666793823242
2023-06-07 00:25:29.174797,53826,STARLINK-4756,"42deg 29' 59.5""","14deg 12' 22.8""",32.66666793823242
2023-06-07 00:25:29.214021,54200,STARLINK-5250,"54deg 38' 06.3""","195deg 36' 34.2""",31.4761905670166
2023-06-07 00:25:29.255243,55634,STARLINK-5500,"58deg 26' 24.1""","76deg 18' 28.9""",31.4761905670166
2023-06-07 00:26:30.354975,45050,STARLINK-1140,"61deg 00' 10.0""","72deg 58' 06.2""",56.20000076293945
2023-06-07 00:26:30.394203,46767,STARLINK-1917,"54deg 13' 49.0""","19deg 09' 38.2""",56.20000076293945
2023-06-07 00:26:30.439103,46787,STARLINK-1899,"55deg 51' 04.1""","348deg 58' 57.9""",56.20000076293945
2023-06-07 00:26:30.477729,47882,STARLINK-2340,"53deg 11' 43.0""","239deg 02' 32.1""",56.71428680419922
2023-06-07 00:26:30.513898,48403,STARLINK-2561,"71deg 16' 32.1""","316deg 57' 17.5""",56.71428680419922
2023-06-07 00:26:30.554874,51112,STARLINK-3374,"48deg 36' 59.7""","326deg 05' 22.7""",56.71428680419922
2023-06-07 00:26:30.594365,51750,STARLINK-3505,"40deg 38' 17.4""","05deg 51' 02.1""",56.71428680419922
2023-06-07 00:26:30.635484,52628,STARLINK-4001,"72deg 07' 35.5""","65deg 29' 02.6""",56.71428680419922
2023-06-07 00:26:30.675146,54082,STARLINK-5210,"53deg 31' 56.7""","330deg 44' 45.0""",56.75
2023-06-07 00:26:30.715262,54192,STARLINK-5268,"44deg 02' 07.3""","211deg 37' 30.0""",56.75
