timestamp,rtt
1684941685,10.4
1684941686,20.3
1684941687,17.3
1684941688,14.3
1684941689,17.0
1684941690,19.6
1684941691,13.5
1684941692,11.1
1684941693,23.4
1684941694,10.9
1684941695,12.3
1684941696,10.4
1684941697,13.3
1684941698,11.0
1684941699,12.1
1684941700,12.2
1684941701,19.7
1684941702,17.1
1684941703,13.3
1684941704,18.8
1684941705,10.3
1684941706,9.85
1684941707,9.87
1684941708,9.84
1684941709,9.88
1684941710,10.6
1684941711,10.1
1684941712,14.1
1684941713,9.73
1684941714,10.1
1684941715,11.7
1684941716,14.1
1684941717,13.2
1684941718,10.9
1684941719,13.2
1684941720,11.8
1684941721,9.87
1684941722,10.1
1684941723,10.6
1684941724,11.0
1684941725,10.7
1684941726,10.6
1684941727,10.9
1684941728,10.6
1684941729,10.7
1684941730,14.9
1684941731,12.7
1684941732,9.99
1684941733,16.2
1684941734,19.9
1684941735,9.89
1684941736,18.3
1684941737,17.4
1684941738,10.2
1684941739,10.3
1684941740,10.6
1684941741,10.5
1684941742,10.0
1684941743,16.0
1684941744,10.2
1684941745,10.1
1684941746,10.6
1684941747,11.0
1684941749,13.9
1684941750,14.9
1684941751,11.8
1684941752,14.3
1684941753,10.1
1684941754,9.81
1684941755,12.0
1684941756,9.90
1684941757,10.6
1684941758,13.1
1684941759,10.8
1684941760,11.6
1684941761,12.7
1684941762,10.3
1684941763,16.2
1684941764,12.8
1684941765,15.0
1684941766,10.2
1684941767,16.4
1684941768,18.1
1684941769,9.80
1684941770,10.8
1684941771,12.1
1684941772,10.3
1684941773,10.4
1684941774,9.82
1684941775,13.4
1684941776,13.2
1684941777,12.0
1684941778,10.9
1684941779,13.7
1684941780,12.7
1684941781,9.96
1684941782,10.4
1684941783,9.80
1684941784,11.8
1684941785,17.8
1684941786,10.6
1684941787,10.2
1684941788,10.5
1684941789,10.2
1684941790,10.8
1684941791,11.5
1684941792,10.8
1684941793,12.5
1684941794,16.3
1684941795,10.8
1684941796,11.9
1684941797,12.8
1684941798,9.97
1684941799,13.6
1684941800,10.0
1684941801,12.5
1684941802,10.7
1684941803,10.6
1684941804,10.2
1684941805,10.6
1684941806,10.0
1684941807,11.6
1684941808,9.94
1684941809,10.7
1684941810,10.6
1684941811,12.0
1684941812,11.7
1684941813,10.2
1684941814,9.99
1684941815,10.3
1684941816,10.5
1684941817,10.1
1684941818,17.1
1684941819,17.8
1684941820,10.2
1684941821,10.6
1684941822,14.7
1684941823,9.93
1684941824,9.84
1684941825,11.1
1684941826,9.99
1684941827,10.1
1684941828,12.7
1684941829,10.2
1684941830,10.7
1684941831,10.5
1684941832,10.6
1684941833,10.7
1684941834,12.1
1684941835,12.6
1684941836,17.3
1684941837,13.0
1684941838,16.8
1684941839,9.90
1684941840,10.6
1684941841,11.4
1684941842,9.91
1684941843,10.3
1684941844,13.3
1684941845,10.1
1684941846,11.6
1684941847,11.3
1684941848,10.6
1684941849,10.1
1684941850,12.4
1684941851,12.6
1684941852,9.86
1684941853,24.7
1684941854,18.9
1684941855,10.3
1684941856,10.0
1684941857,10.6
1684941858,10.7
1684941859,11.5
1684941860,14.8
1684941861,10.6
1684941862,10.8
1684941863,10.4
1684941864,10.1
1684941865,11.1
1684941866,11.7
1684941867,10.7
1684941868,9.82
1684941869,10.7
1684941870,12.9
1684941871,14.4
1684941872,9.83
1684941873,12.1
1684941874,10.7
1684941875,10.1
1684941876,12.0
1684941877,10.7
1684941878,9.91
1684941879,10.8
1684941880,10.3
1684941881,10.4
1684941882,10.5
1684941883,14.1
1684941884,10.6
1684941885,10.6
1684941886,16.8
1684941887,9.85
1684941888,10.8
1684941889,14.5
1684941890,10.5
1684941891,10.6
1684941892,10.1
1684941893,10.4
1684941894,13.5
1684941895,10.7
1684941896,10.7
1684941897,10.4
1684941898,10.6
1684941899,11.4
1684941900,10.6
1684941901,9.82
1684941902,13.2
1684941903,10.4
1684941904,14.9
1684941905,10.9
1684941906,10.0
1684941907,12.7
1684941908,9.95
1684941909,11.0
1684941910,10.2
1684941911,10.8
1684941912,10.6
1684941913,13.2
1684941914,11.5
1684941915,10.2
1684941916,10.5
1684941917,13.0
1684941918,11.0
1684941919,11.6
1684941920,10.4
1684941921,14.8
1684941922,10.4
1684941923,10.7
1684941924,10.4
1684941925,10.4
1684941926,10.1
1684941927,10.4
1684941928,10.9
1684941929,11.9
1684941930,15.1
1684941931,13.6
1684941932,10.7
1684941933,10.5
1684941934,10.8
1684941935,10.3
1684941936,13.3
1684941937,11.6
1684941938,9.87
1684941939,11.0
1684941940,9.87
1684941941,13.6
1684941942,15.0
1684941943,11.7
1684941944,10.5
1684941945,22.1
1684941946,11.6
1684941947,10.0
1684941948,9.83
1684941949,10.3
1684941950,10.4
1684941951,11.3
1684941952,10.3
1684941953,10.6
1684941954,10.9
1684941955,10.2
1684941956,10.0
1684941957,10.5
1684941958,14.5
1684941959,13.3
1684941960,10.6
1684941961,10.7
1684941962,10.6
1684941963,13.5
1684941964,10.1
1684941965,10.5
1684941966,10.3
1684941967,9.76
1684941968,12.2
1684941969,13.4
1684941970,9.96
1684941971,11.9
1684941972,10.7
1684941973,10.2
1684941974,11.3
1684941975,14.4
1684941976,10.0
1684941977,10.2
1684941978,10.4
1684941979,10.4
1684941980,10.2
1684941981,12.1
1684941982,10.6
1684941983,10.6
1684941984,12.9
1684941985,10.1

