timestamp,bandwidth_bps,pop_ping_latency_ms,downlink_troughput_bps
1689688598,0,-1.0,6811.55
1689688599,859312,-1.0,196972.9
1689688600,16560,-1.0,24687.674
1689688601,26000,-1.0,333791.1
1689688616,55376,24.55,49090.133
1689688617,17626200,24.7,421359.78
1689688618,70463832,23.047619,46276050.0
1689688619,91709400,20.714285,93416664.0
1689688620,81808472,19.65,90229176.0
1689688621,87864264,19.3,84799370.0
1689688622,84025432,19.0,86787100.0
1689688623,92141376,19.666666,91090520.0
1689688624,82394816,19.761906,88459770.0
1689688625,91054032,19.9,85820410.0
1689688626,79093072,20.0,91765230.0
1689688628,91673968,20.095238,80296504.0
1689688629,90719352,21.0,92887576.0
1689688630,95662856,21.095238,93121080.0
1689688631,90772192,20.85,92707990.0
1689688632,74456464,21.571428,84513250.0
1689688633,11679072,187.28572,5008913.5
1689688634,131990008,179.39131,176225440.0
1689688635,275835688,37.333332,170088000.0
1689688636,148486872,38.04762,214194670.0
1689688637,110154960,36.857143,80470710.0
1689688638,175642816,35.190475,164445400.0
1689688639,214910080,35.47619,193368540.0
1689688640,244257792,35.761906,232274270.0
1689688641,257133368,33.761906,256188660.0
1689688642,264636096,35.095238,261239980.0
1689688643,266451648,36.6,272139700.0
1689688644,220795144,36.05,237312590.0
1689688645,254987288,35.1,257755300.0
1689688647,263520864,35.285713,259881630.0
1689688648,77372368,46.904762,239760850.0
1689688649,116708656,50.8,99704540.0
1689688650,131987024,40.52381,143422540.0
1689688651,127351480,38.142857,122177120.0
1689688652,177754080,39.65,173236160.0
1689688653,199868800,41.666668,198501260.0
1689688654,200177128,40.095238,205148320.0
1689688655,211613688,40.666668,213742880.0
1689688656,203692760,41.15,215662720.0
1689688657,211389712,40.38095,209348980.0
1689688658,116764104,39.714287,168932980.0
1689688659,88483672,41.142857,97020320.0
1689688660,118798880,41.35,106868280.0
1689688661,93761592,40.0,92627256.0
1689688662,100933560,50.285713,100168030.0
1689688663,156851752,62.0,125923090.0
1689688664,180527952,64.333336,173134960.0
1689688665,184873376,67.38095,187549470.0
1689688666,187372456,67.09524,183354850.0
1689688667,190177448,65.333336,193498600.0
1689688669,176824400,63.95,158817760.0
1689688670,151803856,64.65,132674200.0
1689688671,225935968,65.0,225336370.0
1689688672,235792448,67.75,265835150.0
1689688673,241859744,67.190475,224389250.0
1689688674,246926672,67.190475,250319140.0
1689688675,239136600,69.85714,244570880.0
1689688676,245721112,71.210526,252590130.0
1689688677,178335920,73.0,229871000.0
1689688678,206095088,68.65,165970580.0
1689688679,150370160,65.1,212556530.0
1689688680,178226872,64.45,138868350.0
1689688681,221739376,62.0,201022430.0
1689688682,228613264,63.3,227479040.0
1689688683,252494800,64.2381,237130860.0
1689688684,259926096,65.45,256600020.0
1689688685,274987464,66.61905,267803890.0
1689688686,257950008,67.42857,271643800.0
1689688688,262871608,66.04762,272074750.0
1689688689,275968608,67.14286,251666160.0
1689688690,245324384,66.809525,245402400.0
1689688691,208471632,64.85,214132960.0
1689688692,175508472,61.25,220016600.0
1689688693,134161408,49.095238,114375780.0
1689688694,157604712,35.809525,162812020.0
1689688695,174603848,34.95,164050110.0
1689688696,175819248,36.5,179835090.0
1689688697,186275296,36.142857,192835070.0
1689688698,95575488,37.7,122749320.0
1689688699,142925552,39.095238,115570840.0
1689688700,190830896,37.25,187370900.0
1689688701,185312848,37.38095,159680540.0
1689688702,209171248,36.714287,201747140.0
1689688703,184115656,35.61905,200184830.0
1689688704,186294968,36.04762,199769070.0
1689688706,172757144,37.095238,171686350.0
1689688707,240813184,36.714287,192689840.0
1689688708,93290904,38.9,93121064.0
1689688709,186221528,37.57143,191226940.0
1689688710,218956112,35.2,210453630.0
1689688711,256640624,33.57143,262903460.0
1689688712,204100304,31.0,205049730.0
1689688713,188168496,31.9,208405570.0
1689688714,146902776,32.714287,137821180.0
1689688715,146142752,33.95238,157448880.0
1689688716,175478440,34.285713,184095400.0
1689688717,181417120,34.05,162854220.0
1689688718,112581088,32.809525,131093910.0
1689688719,135604712,31.571428,149880290.0
1689688720,178763640,33.47619,159724290.0
1689688721,169409120,35.095238,160908600.0
1689688722,123689728,35.9,170688750.0
1689688723,107981592,33.0,132994380.0
1689688724,131776968,31.0,91549550.0
1689688725,68674752,29.166666,140540000.0
1689688727,115275288,28.9,62744004.0
1689688728,106820456,30.47619,113113520.0
