provider,region,ip
uni,caida,192.172.226.78
uni,cambridge,128.232.132.8
uni,garr,193.206.158.22
uni,mit,23.218.165.107
uni,oxford,151.101.130.216
uni,tum,129.187.255.109
uni,bucuresti,80.96.21.209
uni,utu,130.232.246.90
uni,cape-town,137.158.159.192
