timestamp20k,rtt20k,pop_ping_latency_ms20k
1684972425,42.30904579162598,61.0
1684972426,58.27188491821289,69.61904907226562
1684972428,38.27643394470215,70.14286041259766
1684972429,42.04750061035156,68.76190185546875
1684972430,50.248146057128906,69.42857360839844
1684972431,34.35468673706055,65.55000305175781
1684972432,38.231611251831055,70.52381134033203
1684972433,70.43647766113281,70.0
1684972434,74.18346405029297,68.0
1684972436,46.20790481567383,66.9047622680664
1684972437,29.788970947265625,46.380950927734375
1684972438,34.17015075683594,34.29999923706055
1684972439,62.262773513793945,45.400001525878906
1684972440,58.15839767456055,63.5
1684972441,54.17037010192871,69.66666412353516
1684972442,58.13932418823242,69.42857360839844
1684972444,66.17379188537598,70.57142639160156
1684972445,97.6865291595459,71.33333587646484
1684972446,110.13579368591309,65.9000015258789
1684972447,74.09453392028809,73.71428680419922
1684972448,42.07897186279297,70.52381134033203
1684972449,50.0338077545166,70.52381134033203
1684972451,46.01693153381348,68.33333587646484
1684972452,25.808095932006836,44.52381134033203
1684972453,37.31799125671387,25.904762268066406
1684972454,33.82420539855957,33.650001525878906
1684972455,41.73994064331055,42.904762268066406
1684972456,33.8902473449707,51.28571319580078
1684972457,66.11895561218262,49.380950927734375
1684972459,53.98750305175781,45.85714340209961
1684972460,50.005197525024414,41.80952453613281
1684972461,77.6374340057373,46.5
1684972462,85.99305152893066,45.380950927734375
1684972463,54.03733253479004,42.42856979370117
1684972464,65.98353385925293,41.681819915771484
1684972466,34.01970863342285,42.52381134033203
1684972467,26.384592056274414,34.14285659790039
1684972468,30.347108840942383,29.952381134033203
1684972469,118.00861358642578,55.849998474121094
1684972470,122.45059013366699,78.33333587646484
1684972471,58.40134620666504,69.94999694824219
1684972473,110.47720909118652,71.28571319580078
1684972474,38.435935974121094,70.76190185546875
1684972475,66.41507148742676,69.9047622680664
1684972476,34.424781799316406,67.9000015258789
1684972477,37.97197341918945,73.71428680419922
1684972478,62.38961219787598,73.04762268066406
1684972480,54.43143844604492,71.75
1684972481,98.40750694274902,64.42857360839844
1684972482,30.496597290039062,43.80952453613281
1684972483,35.77828407287598,32.849998474121094
