192.168.1.1     ,165 ,???                                             ,
100.64.0.1      ,165 ,???                                             ,     
172.16.251.90   ,163 ,???                                             ,     
206.224.65.200  , 34 ,undefined.hostname.localhost                    ,14593
206.224.65.190  , 27 ,undefined.hostname.localhost                    ,14593
62.115.114.90   , 93 ,ffm-bb2-link.ip.twelve99.net                    , 1299
62.115.124.61   , 15 ,mei-b5-link.ip.twelve99.net                     , 1299
62.115.180.189  ,  2 ,skbroadband-ic-374169.ip.twelve99-cust.net      , 1299
1.255.76.100    ,  4 ,???                                             , 9318
1.255.76.174    ,  2 ,???                                             , 9318
140.91.230.12   ,  2 ,???                                             ,31898
206.224.65.204  , 30 ,undefined.hostname.localhost                    ,14593
206.224.65.188  , 28 ,undefined.hostname.localhost                    ,14593
62.115.178.43   ,  6 ,skbroadband-ic-374168.ip.twelve99-cust.net      , 1299
1.255.26.127    ,  6 ,???                                             , 9318
1.255.76.82     ,  4 ,???                                             , 9318
211.176.50.172  ,  4 ,???                                             , 9318
140.91.230.2    ,  4 ,???                                             ,31898
206.224.65.196  , 24 ,undefined.hostname.localhost                    ,14593
206.224.65.186  , 22 ,undefined.hostname.localhost                    ,14593
213.144.184.30  , 31 ,???                                             , 6762
195.219.223.10  , 10 ,???                                             , 6453
195.219.219.72  ,  5 ,if-ae-54-2.tcore1.fr0-frankfurt.as6453.net      , 6453
80.231.245.6    ,  5 ,if-ae-55-2.tcore2.pvu-paris.as6453.net          , 6453
80.231.154.143  ,  3 ,if-ae-3-2.tcore1.l78-london.as6453.net          , 6453
63.243.205.186  ,  3 ,if-ae-17-2.tcore1.sqn-sanjose.as6453.net        , 6453
209.58.86.36    ,  3 ,if-ae-26-2.tcore2.sv1-santaclara.as6453.net     , 6453
209.58.86.143   ,  3 ,if-et-5-2.hcore1.kv8-chiba.as6453.net           , 6453
180.87.180.12   ,  7 ,if-ae-23-2.tcore1.tv2-tokyo.as6453.net          , 6453
4.68.63.109     , 11 ,ae-16.edge8.Frankfurt1.Level3.net               , 3356
4.69.214.246    , 10 ,???                                             , 3356
140.91.240.11   ,  2 ,???                                             ,31898
213.144.170.115 ,  4 ,ae42.marsiglia3.mar.seabone.net                 , 6762
213.144.176.179 ,  7 ,???                                             , 6762
5.11.10.251     ,  3 ,te-0-3-0-16.lza-p4-jhb.liquidtelecom.net        ,30844
41.175.242.16   ,  3 ,hu-0-0-0-0.lza-p3-jhb.liquidtelecom.net         ,30844
77.246.58.97    ,  7 ,hu-0-0-0-12.lza-pe4-jhb.liquidtelecom.net       ,30844
140.91.248.3    ,  3 ,???                                             ,31898
206.224.65.182  , 19 ,undefined.hostname.localhost                    ,14593
62.115.37.20    , 49 ,ffm-b11-link.ip.twelve99.net                    , 1299
62.115.124.118  , 31 ,ffm-bb2-link.ip.twelve99.net                    , 1299
62.115.122.138  , 38 ,prs-bb2-link.ip.twelve99.net                    , 1299
62.115.112.244  , 10 ,nyk-bb1-link.ip.twelve99.net                    , 1299
62.115.118.111  , 13 ,sjo-b23-link.ip.twelve99.net                    , 1299
114.31.199.40   ,  6 ,be203.cor01.syd11.nsw.vocus.network             , 4826
114.31.192.47   ,  2 ,be101.bdr04.syd03.nsw.vocus.network             , 4826
140.91.212.23   ,  2 ,???                                             ,31898
