timestamp,rtt
1684942565,14.1
1684942566,12.3
1684942567,10.3
1684942568,10.5
1684942569,13.1
1684942570,12.3
1684942571,10.4
1684942572,11.6
1684942573,10.3
1684942574,16.7
1684942575,11.1
1684942576,10.0
1684942577,12.0
1684942578,10.5
1684942579,11.3
1684942580,10.4
1684942581,12.0
1684942582,13.1
1684942583,13.7
1684942584,10.0
1684942585,10.8
1684942586,10.8
1684942587,11.8
1684942588,10.5
1684942589,9.97
1684942590,10.2
1684942591,10.4
1684942592,10.5
1684942593,11.6
1684942594,15.3
1684942595,10.0
1684942596,10.3
1684942597,10.2
1684942598,10.3
1684942599,10.3
1684942600,11.1
1684942601,10.3
1684942602,10.2
1684942603,13.6
1684942604,10.1
1684942605,10.1
1684942606,10.7
1684942607,12.8
1684942608,10.8
1684942609,12.7
1684942610,14.9
1684942611,10.2
1684942612,11.3
1684942613,10.8
1684942614,11.0
1684942615,11.6
1684942616,10.4
1684942617,12.4
1684942618,15.4
1684942619,10.4
1684942620,9.94
1684942621,11.0
1684942622,11.8
1684942623,12.3
1684942624,10.6
1684942625,13.4
1684942626,9.99
1684942627,10.6
1684942628,9.93
1684942629,15.3
1684942630,10.4
1684942631,11.4
1684942632,10.0
1684942633,9.83
1684942634,12.1
1684942635,11.7
1684942636,10.6
1684942637,13.6
1684942638,11.7
1684942639,10.8
1684942640,17.5
1684942641,10.7
1684942642,10.7
1684942643,13.7
1684942644,12.8
1684942645,11.2
1684942646,10.8
1684942647,11.9
1684942648,14.8
1684942649,10.2
1684942650,12.9
1684942651,11.7
1684942652,13.8
1684942653,9.82
1684942654,9.95
1684942655,10.4
1684942656,11.6
1684942657,10.7
1684942658,24.1
1684942659,12.1
1684942660,14.4
1684942661,16.7
1684942662,15.7
1684942663,14.3
1684942664,13.0
1684942665,10.4
1684942666,25.1
1684942667,14.2
1684942668,10.6
1684942669,10.2
1684942670,13.8
1684942671,12.7
1684942672,18.4
1684942673,15.8
1684942674,11.1
1684942675,10.7
1684942676,11.6
1684942677,10.0
1684942678,15.4
1684942679,10.3
1684942680,11.4
1684942681,15.7
1684942682,11.2
1684942683,11.3
1684942684,10.6
1684942685,16.7
1684942686,16.5
1684942687,17.9
1684942688,18.5
1684942689,14.0
1684942690,18.2
1684942691,16.7
1684942692,12.0
1684942693,17.4
1684942694,13.3
1684942695,10.0
1684942696,12.9
1684942697,13.0
1684942698,13.9
1684942699,27.3
1684942700,14.8
1684942701,9.95
1684942702,11.9
1684942703,14.2
1684942704,11.1
1684942705,12.1
1684942706,14.1
1684942707,10.5
1684942708,11.4
1684942709,13.2
1684942710,10.0
1684942711,10.2
1684942712,17.6
1684942713,12.5
1684942714,19.9
1684942715,16.8
1684942716,16.9
1684942717,14.3
1684942718,11.6
1684942719,10.0
1684942720,9.89
1684942721,9.71
1684942722,9.92
1684942723,17.5
1684942724,11.0
1684942725,15.1
1684942726,16.7
1684942727,11.4
1684942728,9.87
1684942729,12.6
1684942730,14.3
1684942731,10.8
1684942732,11.9
1684942733,10.6
1684942734,10.4
1684942735,11.0
1684942736,9.94
1684942737,11.0
1684942738,9.79
1684942739,10.4
1684942740,10.7
1684942741,16.1
1684942742,10.8
1684942743,10.8
1684942744,14.1
1684942745,11.4
1684942746,13.6
1684942747,12.3
1684942748,13.1
1684942749,10.6
1684942750,12.3
1684942751,9.90
1684942752,10.3
1684942753,10.0
1684942754,10.7
1684942756,12.0
1684942756,10.0
1684942758,12.9
1684942759,13.3
1684942760,11.3
1684942761,12.0
1684942762,17.5
1684942763,12.4
1684942764,11.7
1684942765,16.7
1684942766,9.87
1684942767,9.82
1684942768,10.3
1684942769,12.4
1684942770,10.7
1684942771,10.4
1684942772,9.96
1684942773,10.5
1684942774,12.8
1684942775,10.1
1684942776,10.6
1684942777,20.3
1684942778,9.87
1684942779,10.6
1684942780,12.9
1684942781,11.7
1684942782,14.1
1684942783,15.4
1684942784,11.1
1684942785,10.4
1684942786,9.90
1684942787,10.4
1684942788,10.2
1684942789,10.8
1684942790,10.7
1684942791,14.2
1684942792,18.6
1684942793,14.9
1684942794,10.5
1684942795,11.5
1684942796,11.9
1684942797,12.2
1684942798,11.5
1684942799,10.0
1684942800,11.3
1684942801,10.7
1684942802,11.2
1684942803,10.7
1684942804,9.74
1684942805,10.4
1684942806,12.4
1684942807,10.4
1684942808,11.3
1684942809,15.5
1684942810,10.1
1684942811,10.9
1684942812,13.4
1684942813,13.4
1684942814,9.89
1684942815,10.9
1684942816,10.5
1684942817,9.92
1684942818,10.5
1684942819,12.8
1684942820,15.8
1684942821,11.1
1684942822,11.1
1684942823,10.1
1684942824,11.7
1684942825,9.88
1684942826,9.98
1684942827,10.3
1684942828,13.5
1684942829,12.2
1684942830,10.5
1684942831,13.7
1684942832,11.5
1684942833,12.4
1684942834,10.6
1684942835,10.9
1684942836,10.4
1684942837,10.5
1684942838,10.2
1684942839,10.4
1684942840,10.5
1684942841,15.6
1684942842,10.1
1684942843,10.5
1684942844,10.1
1684942845,11.5
1684942846,14.9
1684942847,12.4
1684942848,10.0
1684942849,9.85
1684942850,10.3
1684942851,10.6
1684942852,14.4
1684942853,10.2
1684942854,10.7
1684942855,10.0
1684942856,12.5
1684942857,10.6
1684942858,16.2
1684942859,10.2
1684942860,12.1
1684942861,11.3
1684942862,11.6
1684942863,9.85
1684942864,10.2
1684942865,13.6

